instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
119559091.12,144672.92,1074236.26,2091618.24,32537838.32,0.03588713362,21571.64,198969.9,1
119523808.98,141110.9,1074035.94,2093935.54,32528878.4,0.03600050166000001,21102.06,199048.88,2
119567437.04,141776.8,1073623.5,2092420.82,32539859.56,0.03577982636000001,21334.78,199715.08,4
119538908.24,139062.74,1072857.38,2092012.26,32535575.52,0.03573079871999999,20972.08,198921.38,8
119595560.9,138134.26,1073171.32,2089700.16,32547924.84,0.03571691391999999,20351.12,198690.8,16
119693838.84,140153.86,1073083.94,2094170.8,32576023.36,0.03571223314,20788.18,199262.52,32
119967725.06,144284.22,1076943.58,2095160.42,32640737.94,0.035858551300000006,21182.46,200472.04,64
120425523.48,142163.82,1078820.06,2097342.36,32755520.76,0.03604398652,21130.68,201048.7,128
121388511.08,138532.38,1082547.1,2102602.66,32993637.92,0.0359672258,20852.42,202037.46,256
123315601.2,134703.06,1086440.1,2117768.16,33468778.16,0.03624122130000001,20563.64,202710.5,512
127092390.18,129563.1,1092191.36,2142684.76,34405754.46,0.03685048442000001,19907.28,204110.12,1024
134859513.36,125983.46,1110254.3,2201368.94,36328137.0,0.03661989746000001,19310.84,204563.24,2048
150729506.36,138022.62,1147819.12,2319795.88,40271582.64,0.03103502991999999,19577.3,204876.82,4096
182705570.48,175316.24,1256741.02,2556350.12,48215286.26,0.03436928311999999,23960.02,221798.14,8192
246531191.32,246219.98,1532133.38,3034945.82,64088630.7,0.04923945637999998,34379.72,280178.14,16384
